order_id,product_id,product_name,quantity,unit_price,order_time,customer_id,country
O10001,SKU-001,Canvas Tote Bag,2,19.90,2026-09-01 09:15:00,C001,CN
O10002,SKU-002,Ceramic Mug,1,29.00,2026-09-01 10:20:00,C002,CN
O10003,SKU-001,Canvas Tote Bag,1,19.90,2026-09-02 12:05:00,C003,CN
O10004,SKU-003,Desk Lamp,1,89.00,2026-09-03 15:42:00,C001,CN
O10005,SKU-004,Notebook Set,3,12.50,2026-09-04 08:31:00,C004,CN
O10006,SKU-002,Ceramic Mug,2,29.00,2026-09-05 18:10:00,C005,CN
O10007,SKU-003,Desk Lamp,1,89.00,2026-09-06 11:03:00,C006,CN
O10008,SKU-005,Wireless Mouse,2,59.90,2026-09-07 14:27:00,C007,CN
O10009,SKU-004,Notebook Set,2,12.50,2026-09-08 16:46:00,C002,CN
O10010,SKU-001,Canvas Tote Bag,1,19.90,2026-09-09 20:12:00,C008,CN
